timestamp,ZAR100k, ZAR200k, ZAR300k, ZAR500k, ZAR1m
1683645166121,0.0055630278878247,0.00887558504281261,0.00964271177273091,0.0102564131566658,0.0107166891946167
1683645334304,0.0055630278878247,0.00887558504281261,0.00964271177273091,0.0102564131566658,0.0107166891946167
1683645767918,0.0055630278878247,0.00887558504281261,0.00964271177273091,0.0102564131566658,0.0107166891946167
1683645858937,0.00635508043488864,0.0096702207178585,0.0104379430163106,0.0110521208550725,0.0115127542341436
1683645893825,0.00705665316699022,0.0103740873025284,0.0111423390668426,0.011756940478294,0.0122178915368825
1683659550276,0.00644132958473742,0.00975675399011733,0.0105245420858184,0.0111387725623793,0.0115994454197996
1683663806207,0.00560610990609978,0.00891880898321884,0.00968596857966753,0.0102996962568267,0.0107599920146959
1683678730100,0.00597643195089126,0.00929047207541678,0.0100579544771651,0.0106719403985636,0.0111324298396123
1683692722899,0.00639416519262603,0.00970951201200854,0.0104772900031411,0.0110915123960471,0.0115521791907267
1683707146374,0.0112144602846447,0.014545618148823,0.0153170507981835,0.0159341969176718,0.016397056507288
1683721785013,0.00620530138603637,0.00952009812259225,0.0102877560108487,0.0109018823214533,0.011362477054407
